Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
UNM;378233;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;203653100;204243200;981000000;119800000;-400700000;1387500000;-110300000;-649300000;-1403400000;-239400000;88100000;-46600000;-106100000;;-122000000
UNM;378233;USD;2022;FY;2022-12-31;2023-02-23;2025-02-27;204232900;204847900;1407200000;110500000;-575700000;1418700000;-102200000;-297400000;-959500000;-254200000;-14800000;-196100000;-415000000;;44200000
UNM;378233;USD;2023;FY;2023-12-31;2024-02-20;2026-02-17;196659700;197602000;1283800000;108800000;-792500000;1202800000;-134800000;9400000;-725900000;-277100000;-2000000;-244900000;-450100000;;26800000
UNM;378233;USD;2024;FY;2024-12-31;2025-02-27;2026-02-17;187497700;188069200;1779100000;116100000;-1005900000;1513200000;-125700000;690700000;-344400000;-296500000;41600000;-966900000;-1152000000;;16800000
UVE;529179;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;31884000;31972000;19105000;5107000;-77916000;29348000;-17216000;39083000;22042000;-24557000;-1470000;-28921000;-56263000;;-4873000
UVE;529179;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;31247000;31337000;20407000;6913000;-45069000;234378000;-7226000;-234220000;-229404000;-24201000;98529000;-1609000;68298000;;73272000
UVE;529179;USD;2022;FY;2022-12-31;2023-02-28;2025-02-28;30751000;30751000;-22257000;7296000;-47459000;324515000;-4899000;-144053000;-148861000;-23784000;-1471000;-11643000;-37456000;;138198000
UVE;529179;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;29829000;30147000;66823000;7313000;71207000;70971000;-4019000;-6480000;-15251000;-23289000;-1471000;-22021000;-47120000;;8600000
UVE;529179;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;28498000;29274000;58928000;6117000;-37893000;137358000;-7368000;-218068000;-228092000;-22326000;-1471000;-21914000;-47131000;;-137865000
VOYA;354109;USD;2021;FY;2021-12-31;2022-02-22;2024-02-23;127400000;127400000;;;;;;;;-116000000;-226000000;-1109000000;-265000000;;-265000000
WRB;1161717;USD;2020;FY;2020-12-31;2021-02-18;2023-02-24;420579000;424716750;532985000;135065000;-141652000;1616686000;-38171000;7023000;119696000;-84147000;88886000;-346357000;-397843000;10117000;1348656000
WRB;1161717;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;414981000;417802500;1031015000;129682000;-256337000;2183987000;-66634000;-3145044000;-2989146000;-355736000;529155000;-122426000;5831000;-4195000;-803523000
WRB;1161717;USD;2022;FY;2022-12-31;2023-02-24;2025-02-24;416144250;419622750;1384954000;55872000;-362797000;2568604000;-98604000;-2605716000;-1891355000;-235192000;-429812000;-94140000;-771992000;-24754000;-119497000
WRB;1161717;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;406500000;409947000;1383846000;-20861000;-39476000;2929238000;-55154000;-1908267000;-1961964000;-501456000;-974000;-537163000;-1062495000;9070000;-86151000
WRB;1161717;USD;2024;FY;2024-12-31;2025-02-24;2026-02-27;399734;403224;1754577000;-170638000;43475000;3678368000;-172255000;-2043551000;-2184489000;-531953000;3105000;-303655000;-852487000;-29840000;611552000
