Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
RNR;971614;USD;2023;FY;2023-12-31;2024-02-21;2026-02-11;47493000;47607000;9134608000;;3183241000;3110060000;510067000;;3620127000;;2561132000;2525757000
RNR;971614;USD;2024;FY;2024-12-31;2025-02-12;2026-02-11;51186000;51339000;11695148000;;3086928000;2993160000;-32628000;;2960532000;;1870360000;1834985000
RYAN;11794920;USD;2020;FY;2020-12-31;2021-03-16;2023-03-01;106488770;106488770;1018274000;;157237000;79465000;-8952000;;70513000;;68104000;68104000
RYAN;11794920;USD;2021;FY;2021-12-31;2022-03-16;2024-02-28;105730008;105730008;1432771000;;189515000;61564000;-4932000;;56632000;;0;0
RYAN;11794920;USD;2022;FY;2022-12-31;2023-03-01;2025-02-21;108616420;265750444;1725193000;;289950000;179192000;-15935000;;163257000;;0;0
RYAN;11794920;USD;2023;FY;2023-12-31;2024-02-28;2026-02-13;114359968;125745139;2086280000;;373233000;237925000;-43445000;;194480000;;0;0
RYAN;11794920;USD;2024;FY;2024-12-31;2025-02-21;2026-02-13;120781234;132891487;2533941000;;423184000;272554000;-42641000;;229913000;;0;0
SAFT;250043;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;15002755;15119027;847302000;-404556000;176264000;174770000;-36559000;;138211000;;138211000;138211000
SAFT;250043;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;14982405;15080029;884548000;-461727000;164429000;164270000;-33560000;;130710000;;130710000;130710000
SAFT;250043;USD;2022;FY;2022-12-31;2023-02-28;2025-02-27;14607483;14710611;797545000;-491979000;60421000;59581000;-13020000;;46561000;;46561000;46561000
SAFT;250043;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;14663730;14710131;931486000;-642302000;32604000;24420000;-5545000;;18875000;;18875000;18875000
SAFT;250043;USD;2024;FY;2024-12-31;2025-02-27;2026-02-27;14692089;14717118;1120008000;-716637000;98049000;89866000;-19132000;;70734000;;70734000;70734000
SIGI;627778;USD;2020;FY;2020-12-31;2021-02-12;2023-02-10;59862000;60293000;2922274000;-1635823000;333827000;302988000;-56633000;;246355000;;246355000;246355000
SIGI;627778;USD;2021;FY;2021-12-31;2022-02-11;2024-02-09;60200000;60800000;3379164000;-1813984000;534475000;505310000;-101473000;;403837000;;403837000;394484000
STFC;9076341;USD;2020;FY;2020-12-31;2021-03-10;2021-03-10;43700000;44300000;1482400000;;19100000;14400000;-1300000;;13100000;;13100000;13100000
THG;1234794;USD;2020;FY;2020-12-31;2021-02-24;2023-02-23;37700000;38100000;4824800000;-2845200000;488100000;444800000;-82800000;;362000000;-3300000;358700000;358700000
THG;1234794;USD;2021;FY;2021-12-31;2022-02-25;2024-02-22;35500000;36400000;5227800000;-3134200000;555300000;521300000;-101300000;;420000000;2770000;422770000;422770000
TIG;11818419;USD;2020;FY;2020-12-31;2021-03-26;2023-03-16;43744003;43744744;205451000;-50774000;99503000;92451000;-6235000;2333000;88549000;;88549000;88549000
TIG;11818419;USD;2021;FY;2021-12-31;2022-03-16;2023-03-16;51162293;51173450;217690000;-130772000;24019000;24779000;-5449000;;19330000;;19330000;19330000
TIG;11818419;USD;2022;FY;2022-12-31;2023-03-16;2023-03-16;51203370;51203370;303242000;-203877000;2312000;-64881000;-1074000;;-65955000;;-65955000;-65955000
TIPT;7962786;USD;2020;FY;2020-12-31;2021-03-11;2023-03-08;33859775;33859775;810301000;-236898000;-6270000;-38852000;13627000;;-25225000;;-29158000;-29158000
TIPT;7962786;USD;2021;FY;2021-12-31;2022-03-14;2024-02-29;33223792;33688256;1200514000;-327012000;245060000;65342000;-21291000;;44051000;;38132000;38132000
TIPT;7962786;USD;2022;FY;2022-12-31;2023-03-08;2025-03-03;35531149;35531149;1397752000;-452605000;216831000;54011000;-50450000;;3561000;;-8274000;-8274000
TIPT;7962786;USD;2023;FY;2023-12-31;2024-02-29;2026-03-09;36693204;37619095;2118000;;-43458000;-43479000;4747000;;-38732000;52692000;13951000;13951000
TIPT;7962786;USD;2024;FY;2024-12-31;2025-03-03;2026-03-09;36872706;37926792;1520000;;-40274000;-38562000;6217000;;-32345000;85712000;53367000;53367000
TRV;262327;USD;2020;FY;2020-12-31;2021-02-11;2023-02-16;253500000;254600000;31981000000;-19123000000;3576000000;3237000000;-540000000;;2697000000;;2697000000;2697000000
TRV;262327;USD;2021;FY;2021-12-31;2022-02-17;2024-02-15;243800000;246400000;34816000000;-20298000000;4798000000;4458000000;-796000000;;3662000000;;3662000000;3662000000
TRV;262327;USD;2022;FY;2022-12-31;2023-02-16;2025-02-13;237000000;239700000;36884000000;-22854000000;3705000000;3354000000;-512000000;;2842000000;;2842000000;2842000000
TRV;262327;USD;2023;FY;2023-12-31;2024-02-15;2026-02-12;229700000;232200000;41364000000;-26215000000;3747000000;3371000000;-380000000;;2991000000;;2991000000;2991000000
TRV;262327;USD;2024;FY;2024-12-31;2025-02-13;2026-02-12;228000000;231100000;46423000000;-27059000000;6572000000;6180000000;-1181000000;;4999000000;;4999000000;4999000000
UFCS;7962682;USD;2023;FY;2023-12-31;2024-02-29;2026-02-26;25249269;25249269;1095467000;-769414000;-36461000;-39721000;10021000;;-29700000;;-29700000;-29700000
UFCS;7962682;USD;2024;FY;2024-12-31;2025-02-26;2026-02-26;25319973;25917760;1253307000;-744605000;84315000;77034000;-15077000;;61957000;;61957000;61957000
UNAM;251597;USD;2020;FY;2020-12-31;2021-03-31;2022-07-12;5305829;5305829;32560111;-34642920;-17943515;-17943515;-3547598;;-21491113;;-21491113;-21491113
