ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
GPN,10206745600,26000,Industrials,Specialty Business Services,23363158016,
GL,6191958016,3695,Financial Services,Insurance - Life,13154320384,
GDDY,5104099840,5845,Technology,Software - Infrastructure,12420340736,
GS,67569999872,46200,Financial Services,Capital Markets,299667783680,
HAL,22372999168,46000,Energy,Oil & Gas Equipment & Services,29859393536,
HIG,29315000320,19200,Financial Services,Insurance - Diversified,36936105984,
HAS,4973199872,4520,Consumer Cyclical,Leisure,12911210496,
HCA,78012997632,230000,Healthcare,Medical Care Facilities,92433154048,
DOC,2949806080,411,Real Estate,REIT - Healthcare Facilities,14391628800,
HSIC,13601999872,25000,Healthcare,Medical Distribution,9847416832,
HSY,12163911680,17550,Consumer Defensive,Confectioners,34824437760,
HPE,41870999552,67000,Technology,Communication Equipment,82422292480,
HLT,5104000000,182000,Consumer Cyclical,Lodging,68912627712,
HD,169176006656,470000,Consumer Cyclical,Home Improvement Retail,308026671104,
HONA,17915000832,30000,Industrials,Aerospace & Defense,50160939008,
HON,38057000960,101000,Industrials,Conglomerates,64135979008,
HRL,12146911232,20000,Consumer Defensive,Packaged Foods,11320715264,
HST,6233999872,162,Real Estate,REIT - Hotel & Motel,15450716160,
HWM,9116999680,25430,Industrials,Aerospace & Defense,91568791552,
HPQ,59162001408,55000,Technology,Computer Hardware,31995543552,
HUBB,6223600128,19400,Industrials,Electrical Equipment & Parts,24324116480,
HUM,145679007744,67060,Healthcare,Healthcare Plans,49208905728,
HBAN,9176999936,25527,Financial Services,Banks - Regional,34064195584,
HII,13185000448,45000,Industrials,Aerospace & Defense,11021072384,
IBM,69094998016,264300,Technology,Information Technology Services,229211865088,
IEX,3585299968,8700,Industrials,Specialty Industrial Machinery,16528738304,
IDXX,4553223168,11000,Healthcare,Diagnostics & Research,39760830464,
ITW,16469000192,43000,Industrials,Specialty Industrial Machinery,76371968000,
INCY,5819530240,2844,Healthcare,Biotechnology,24621694976,
IR,7942199808,21000,Industrials,Specialty Industrial Machinery,28296798208,
PODD,3053400064,5400,Healthcare,Medical Devices,9151980544,
INTC,57031999488,85100,Technology,Semiconductors,544151666688,
IBKR,6834999808,3265,Financial Services,Capital Markets,155677638656,
ICE,10558000128,12725,Financial Services,Financial Data & Stock Exchanges,88363491328,
IFF,10780999680,21500,Basic Materials,Specialty Chemicals,21333088256,
IP,24202999808,62602,Consumer Cyclical,Packaging & Containers,18196021248,
