ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
ACGL,ARCH CAPITAL,ARCH CAPITAL,Insurance,13916.0,8000.0,-49.0,87.0,-2.6,0.3,-1.2,0.1,-0.4,-0.8,4.6,-0.3,0.6,-4.5,0.1,Scarce human capital 10.2k scarce worker years,Taxes 5.03M days of primary education,https://uprightplatform.com/company/9769ae57-af52-4211-a274-681882f8a608/Arch%20Capital/
RCL,ROYAL CARIBBEAN CRUISES,ROYAL CARIBBEAN CRUISES,"Leisure, Sports and Recreation",13900.0,105950.0,-36.0,83.0,-17.5,1.5,-9.2,1.0,-3.3,-0.5,10.9,-3.7,5.5,-2.9,0.1,GHG emissions 3.07M tons of GHG emissions,Taxes 13.5M days of primary education,https://uprightplatform.com/company/36b39a17-8866-4f46-9888-8628a9ed6d88/Royal%20Caribbean%20Cruises/
AMCR,AMCOR,AMCOR,Industrial Manufacturing and Services,13778.0,42000.0,-64.0,90.0,-19.6,1.4,-9.4,1.0,-2.3,-0.7,7.1,-4.3,7.5,-2.0,0.2,GHG emissions 3.09M tons of GHG emissions,Physical diseases 61.2k life years,https://uprightplatform.com/company/17f475c2-f4d4-4d55-8749-3fd1817d029b/Amcor/
LH,LABCORP,LABCORP,Hospitals and Healthcare,13765.3,70000.0,63.0,10.0,-5.3,0.1,-1.9,0.0,-0.8,-1.2,14.0,-1.1,12.5,-4.2,5.2,Scarce human capital 9.46k scarce worker years,Physical diseases 124k life years,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
SRE,SEMPRA ENERGY,SEMPRA ENERGY,Energy and Environmental,13711.0,16773.0,5.0,63.0,-21.0,5.1,-11.1,4.0,-3.2,-1.0,22.2,-1.7,0.4,-3.3,0.6,GHG emissions 3.67M tons of GHG emissions,Societal infrastructure 59.0M long-haul train rides,https://uprightplatform.com/company/d045cc2c-a7cb-41ba-968b-0ccd9a153cf9/Sempra%20Energy/
NXPI,NXP SEMICONDUCTORS,NXP SEMICONDUCTORS,Computer Hardware,13276.0,33100.0,10.0,59.0,-10.0,1.3,-4.7,0.9,-1.8,-0.3,10.2,-2.1,1.7,-3.2,4.1,GHG emissions 1.49M tons of GHG emissions,Taxes 10.1M days of primary education,https://uprightplatform.com/company/e9c606be-00ed-456a-966b-bcdba0bfb97d/NXP%20Semiconductors/
LVS,LAS VEGAS SANDS,LAS VEGAS SANDS,"Leisure, Sports and Recreation",13017.0,39900.0,-139.0,98.0,-12.9,0.1,-5.1,0.1,-1.9,-3.4,11.2,-23.0,5.9,-2.3,0.2,Physical diseases 86.9k life years,Taxes 14.1M days of primary education,https://uprightplatform.com/company/4d029716-dd40-4dbc-bb71-ce2c86acb763/Las%20Vegas%20Sands/
ES,EVERSOURCE ENERGY,EVERSOURCE ENERGY,Energy and Environmental,12991.14,10680.0,29.0,42.0,-22.2,7.3,-12.2,6.3,-3.2,-0.9,33.8,-2.1,0.5,-4.3,0.3,GHG emissions 3.79M tons of GHG emissions,Societal infrastructure 86.2M long-haul train rides,https://uprightplatform.com/company/0e19247f-e6c8-433c-a7d8-3af21ae2fdec/Eversource%20Energy/
ETR,ENTERGY,ENTERGY,Energy and Environmental,12946.69,12267.0,-30.0,81.0,-33.0,6.8,-20.5,5.8,-4.5,-1.5,23.3,-3.4,0.8,-3.6,1.0,GHG emissions 6.36M tons of GHG emissions,Societal infrastructure 55.7M long-haul train rides,https://uprightplatform.com/company/72ab6e80-c4b0-48c2-9ec1-8e081481ca8c/Entergy/
HSIC,HENRY SCHEIN,HENRY SCHEIN,Hospitals and Healthcare,12938.0,25000.0,43.0,28.0,-7.3,0.2,-3.4,0.1,-0.8,-0.3,9.7,-1.9,11.8,-3.1,0.3,GHG emissions 1.07M tons of GHG emissions,Physical diseases 111k life years,https://uprightplatform.com/company/c1224792-32c0-4fcd-8a7d-e639ad1fe7ca/Henry%20Schein/
