ticker,security,gics_sector,level_score,level_intensity_tco2e_per_usd,scope1_is_estimated,scope2_is_estimated,velocity_score,velocity_basis,velocity_details,integrity_score,integrity_disclosure_quality,integrity_cross_source_agreement,integrity_basis,environmental_composite_score
ZBRA,Zebra Technologies,Information Technology,95.5,2.9138498056291453e-06,False,False,0.0,measured_trend,"Measured: 2,100 -> 3,548 tCO2e over 4 yr(s) (12/31/2020 baseline, 2024 assumed current year) = -17.24%/yr observed vs. 4.2%/yr required (1.5C pathway).",90.4,100.0,75.9,with_cross_validation,62.0
TECH,Bio-Techne,Health Care,64.6,8.112661564529104e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,41.0,12.0,84.5,with_cross_validation,61.9
CBRE,CBRE Group,Real Estate,100.0,2.6852508168034483e-06,False,False,0.0,measured_trend,"Measured: 62,337 -> 62,337 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 0.00%/yr observed vs. 4.2%/yr required (1.5C pathway).",85.7,100.0,64.2,with_cross_validation,61.9
WST,West Pharmaceutical Services,Health Care,57.6,9.60514645589117e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,46.8,12.0,99.1,with_cross_validation,61.5
DVN,Devon Energy,Energy,79.3,0.0002523827315245447,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,85.0,80.0,92.5,with_cross_validation,61.4
GEHC,GE HealthCare,Health Care,71.0,6.777833201709897e-06,True,True,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,12.0,12.0,,disclosure_quality_only,61.0
NEM,Newmont,Materials,89.0,0.00013869762048835147,False,True,60.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 1/2 for ambition (Well-below 2°C) + 0/1 for a net-zero target (none) = 3/5 -> 60.0.,34.0,34.0,,disclosure_quality_only,61.0
SBUX,Starbucks,Consumer Discretionary,59.2,2.0340499195200244e-05,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,43.5,12.0,90.7,with_cross_validation,60.9
WBD,Warner Bros. Discovery,Communication Services,84.9,5.4529971665837415e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,77.3,72.0,85.2,with_cross_validation,60.7
COP,ConocoPhillips,Energy,77.5,0.00027045097655940966,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,84.3,80.0,90.7,with_cross_validation,60.6
CEG,Constellation Energy,Utilities,94.3,0.00027537207623159164,False,False,0.0,measured_trend,"Measured: 7,982,743 -> 8,237,643 tCO2e over 4 yr(s) (12/31/2020 baseline, 2024 assumed current year) = -0.80%/yr observed vs. 4.2%/yr required (1.5C pathway).",87.5,100.0,68.7,with_cross_validation,60.6
LLY,Lilly (Eli),Health Care,70.7,6.841061090737198e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,91.2,90.0,92.9,with_cross_validation,60.6
VEEV,Veeva Systems,Health Care,66.2,7.773868936597377e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,35.2,12.0,70.0,with_cross_validation,60.5
